,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3161782,2015,7,17,5,AA,664,N904AW,PHX,HNL,1045,1044.0,-1.0,15.0,1059.0,398.0,391.0,364.0,2917,1403.0,12.0,1423,1415.0,-8.0,0,0,,,,,,
5258684,2015,11,25,3,F9,901,N939FR,TTN,ATL,1410,1503.0,53.0,9.0,1512.0,135.0,120.0,102.0,701,1654.0,9.0,1625,1703.0,38.0,0,0,,0.0,0.0,0.0,38.0,0.0
1666935,2015,4,17,5,EV,5062,N927EV,LEX,ATL,904,859.0,-5.0,14.0,913.0,81.0,88.0,60.0,304,1013.0,14.0,1025,1027.0,2.0,0,0,,,,,,
2195218,2015,5,20,3,AA,1415,N467AA,TUS,DFW,515,511.0,-4.0,14.0,525.0,134.0,144.0,104.0,813,909.0,26.0,929,935.0,6.0,0,0,,,,,,
1359398,2015,3,29,7,HA,33,N373HA,LAX,OGG,1110,1105.0,-5.0,9.0,1114.0,350.0,342.0,326.0,2486,1340.0,7.0,1400,1347.0,-13.0,0,0,,,,,,
4213649,2015,9,20,7,AA,126,N3KAAA,LAX,ORD,750,745.0,-5.0,17.0,802.0,247.0,241.0,216.0,1744,1338.0,8.0,1357,1346.0,-11.0,0,0,,,,,,
2230174,2015,5,22,5,WN,382,N7814B,OMA,LAS,615,612.0,-3.0,11.0,623.0,175.0,165.0,148.0,1099,651.0,6.0,710,657.0,-13.0,0,0,,,,,,
5077895,2015,11,13,5,WN,1650,N424WN,BNA,MDW,1935,1930.0,-5.0,10.0,1940.0,90.0,89.0,66.0,395,2046.0,13.0,2105,2059.0,-6.0,0,0,,,,,,
1567035,2015,4,11,6,MQ,2997,N5PBMQ,MAF,DFW,502,508.0,6.0,13.0,521.0,75.0,72.0,47.0,309,608.0,12.0,617,620.0,3.0,0,0,,,,,,
1910377,2015,5,2,6,EV,5244,N927EV,ATL,MGM,1045,1046.0,1.0,15.0,1101.0,57.0,52.0,35.0,147,1036.0,2.0,1042,1038.0,-4.0,0,0,,,,,,
2074480,2015,5,12,2,OO,4561,N446SW,SLC,SJC,1500,1455.0,-5.0,28.0,1523.0,124.0,131.0,100.0,584,1603.0,3.0,1604,1606.0,2.0,0,0,,,,,,
1013400,2015,3,8,7,DL,2063,N907DA,DCA,MSP,835,858.0,23.0,26.0,924.0,168.0,176.0,146.0,931,1050.0,4.0,1023,1054.0,31.0,0,0,,8.0,0.0,23.0,0.0,0.0
2345123,2015,5,29,5,DL,1851,N968AT,CHS,JFK,1105,1102.0,-3.0,15.0,1117.0,124.0,115.0,95.0,636,1252.0,5.0,1309,1257.0,-12.0,0,0,,,,,,
1683191,2015,4,18,6,OO,4709,N429SW,ATL,SBN,905,901.0,-4.0,13.0,914.0,110.0,106.0,87.0,566,1041.0,6.0,1055,1047.0,-8.0,0,0,,,,,,
1057959,2015,3,10,2,EV,5036,N844AS,ATL,CSG,1944,1939.0,-5.0,21.0,2000.0,42.0,43.0,19.0,83,2019.0,3.0,2026,2022.0,-4.0,0,0,,,,,,
4644072,2015,10,17,6,AA,1446,N4YBAA,11298,14570,915,908.0,-7.0,23.0,931.0,215.0,205.0,176.0,1345,1027.0,6.0,1050,1033.0,-17.0,0,0,,,,,,
3865907,2015,8,28,5,MQ,3059,N689MQ,DFW,LCH,1252,1245.0,-7.0,19.0,1304.0,72.0,72.0,48.0,295,1352.0,5.0,1404,1357.0,-7.0,0,0,,,,,,
2958890,2015,7,5,7,OO,3449,N219AG,SLC,LAS,1310,1258.0,-12.0,9.0,1307.0,85.0,75.0,57.0,368,1304.0,9.0,1335,1313.0,-22.0,0,0,,,,,,
888710,2015,2,28,6,EV,4563,N16178,IAD,CLE,815,806.0,-9.0,13.0,819.0,82.0,68.0,49.0,288,908.0,6.0,937,914.0,-23.0,0,0,,,,,,
4311887,2015,9,26,6,DL,2534,N390DA,LAX,BOS,910,916.0,6.0,11.0,927.0,336.0,333.0,315.0,2611,1742.0,7.0,1746,1749.0,3.0,0,0,,,,,,
4211502,2015,9,19,6,DL,2491,N303DQ,ATL,SDF,2209,2155.0,-14.0,15.0,2210.0,80.0,68.0,50.0,321,2300.0,3.0,2329,2303.0,-26.0,0,0,,,,,,
2657625,2015,6,17,3,MQ,3182,N631MQ,ORD,FNT,836,846.0,10.0,25.0,911.0,68.0,68.0,37.0,223,1048.0,6.0,1044,1054.0,10.0,0,0,,,,,,
3597522,2015,8,12,3,UA,617,N487UA,DCA,ORD,745,744.0,-1.0,15.0,759.0,119.0,105.0,87.0,612,826.0,3.0,844,829.0,-15.0,0,0,,,,,,
3956556,2015,9,3,4,WN,322,N7726A,SJC,LAS,815,811.0,-4.0,10.0,821.0,80.0,78.0,64.0,386,925.0,4.0,935,929.0,-6.0,0,0,,,,,,
945617,2015,3,3,2,WN,4363,N464WN,RDU,BWI,2025,2025.0,0.0,17.0,2042.0,60.0,70.0,49.0,255,2131.0,4.0,2125,2135.0,10.0,0,0,,,,,,
1310602,2015,3,26,4,MQ,3634,N672MQ,DFW,JAN,1000,1137.0,97.0,13.0,1150.0,77.0,91.0,54.0,408,1244.0,24.0,1117,1308.0,111.0,0,0,,14.0,0.0,1.0,96.0,0.0
5618732,2015,12,18,5,B6,834,N828JB,SFO,BOS,2123,2305.0,102.0,26.0,2331.0,325.0,309.0,279.0,2704,710.0,4.0,548,714.0,86.0,0,0,,0.0,0.0,10.0,76.0,0.0
3518891,2015,8,7,5,DL,1714,N6706Q,MCO,MSP,1205,1226.0,21.0,18.0,1244.0,205.0,207.0,182.0,1310,1446.0,7.0,1430,1453.0,23.0,0,0,,2.0,0.0,0.0,0.0,21.0
5678203,2015,12,22,2,DL,1983,N988DL,SAV,ATL,1700,1659.0,-1.0,10.0,1709.0,81.0,68.0,47.0,214,1756.0,11.0,1821,1807.0,-14.0,0,0,,,,,,
4343337,2015,9,28,1,WN,2053,N375SW,SFO,LAX,1120,,,,,85.0,,,337,,,1245,,,0,1,A,,,,,
4211246,2015,9,19,6,DL,1433,N934AT,ATL,GRR,2108,2108.0,0.0,11.0,2119.0,117.0,99.0,83.0,640,2242.0,5.0,2305,2247.0,-18.0,0,0,,,,,,
3555517,2015,8,9,7,OO,4493,N602XJ,CHO,ATL,1700,1707.0,7.0,15.0,1722.0,94.0,89.0,67.0,457,1829.0,7.0,1834,1836.0,2.0,0,0,,,,,,
4133229,2015,9,14,1,WN,1265,N8303R,DAL,MDW,2030,2029.0,-1.0,13.0,2042.0,135.0,125.0,105.0,793,2227.0,7.0,2245,2234.0,-11.0,0,0,,,,,,
3184532,2015,7,18,6,AS,158,N558AS,ANC,SEA,1725,1723.0,-2.0,10.0,1733.0,209.0,196.0,176.0,1448,2129.0,10.0,2154,2139.0,-15.0,0,0,,,,,,
5324278,2015,11,30,1,WN,2237,N8613K,LAX,MDW,630,636.0,6.0,16.0,652.0,240.0,224.0,205.0,1750,1217.0,3.0,1230,1220.0,-10.0,0,0,,,,,,
644252,2015,2,12,4,AA,344,N3EBAA,MIA,DEN,1355,1357.0,2.0,9.0,1406.0,274.0,258.0,238.0,1709,1604.0,11.0,1629,1615.0,-14.0,0,0,,,,,,
4345875,2015,9,28,1,OO,6301,N795SK,SNA,SFO,1354,1351.0,-3.0,16.0,1407.0,79.0,80.0,62.0,372,1509.0,2.0,1513,1511.0,-2.0,0,0,,,,,,
4609019,2015,10,15,4,DL,1879,N977AT,12953,11697,700,657.0,-3.0,30.0,727.0,190.0,179.0,147.0,1076,954.0,2.0,1010,956.0,-14.0,0,0,,,,,,
2260650,2015,5,24,7,US,556,N665AW,STL,PHX,735,730.0,-5.0,11.0,741.0,219.0,223.0,175.0,1262,836.0,37.0,914,913.0,-1.0,0,0,,,,,,
424676,2015,1,28,3,AA,2290,N571AA,DFW,PIT,2015,2008.0,-7.0,10.0,2018.0,150.0,158.0,136.0,1067,2334.0,12.0,2345,2346.0,1.0,0,0,,,,,,
4637483,2015,10,16,5,MQ,3351,N641MQ,13930,12339,1821,1910.0,49.0,22.0,1932.0,74.0,54.0,28.0,177,2100.0,4.0,2035,2104.0,29.0,0,0,,0.0,0.0,29.0,0.0,0.0
1462199,2015,4,4,6,WN,1106,N8614M,FLL,MDW,1435,1426.0,-9.0,14.0,1440.0,195.0,196.0,175.0,1167,1635.0,7.0,1650,1642.0,-8.0,0,0,,,,,,
3312478,2015,7,26,7,HA,24,N580HA,OGG,OAK,1110,1105.0,-5.0,8.0,1113.0,290.0,297.0,282.0,2349,1855.0,7.0,1900,1902.0,2.0,0,0,,,,,,
5504046,2015,12,11,5,WN,471,N793SA,SMF,SNA,1420,1426.0,6.0,10.0,1436.0,80.0,77.0,63.0,404,1539.0,4.0,1540,1543.0,3.0,0,0,,,,,,
2879286,2015,6,30,2,WN,519,N317WN,ABQ,LAS,1125,1127.0,2.0,13.0,1140.0,90.0,87.0,69.0,486,1149.0,5.0,1155,1154.0,-1.0,0,0,,,,,,
4846547,2015,10,30,5,AA,1438,N4YCAA,15304,11298,740,730.0,-10.0,12.0,742.0,169.0,175.0,150.0,929,912.0,13.0,929,925.0,-4.0,0,0,,,,,,
3404704,2015,7,31,5,OO,6535,N750SK,OKC,LAX,1640,1810.0,90.0,12.0,1822.0,191.0,181.0,153.0,1187,1855.0,16.0,1751,1911.0,80.0,0,0,,0.0,0.0,0.0,58.0,22.0
3830407,2015,8,26,3,DL,2677,N969AT,BOS,LGA,1100,1055.0,-5.0,15.0,1110.0,74.0,74.0,49.0,184,1159.0,10.0,1214,1209.0,-5.0,0,0,,,,,,
1935008,2015,5,4,1,MQ,3448,N611MQ,SJT,DFW,515,1754.0,759.0,14.0,1808.0,64.0,64.0,42.0,229,1850.0,8.0,619,1858.0,759.0,0,0,,0.0,0.0,759.0,0.0,0.0
4889739,2015,11,2,1,EV,4671,N13997,IAH,IND,722,728.0,6.0,18.0,746.0,143.0,137.0,111.0,844,1037.0,8.0,1045,1045.0,0.0,0,0,,,,,,
5641736,2015,12,20,7,VX,411,N632VA,JFK,LAX,1300,1301.0,1.0,20.0,1321.0,380.0,390.0,364.0,2475,1625.0,6.0,1620,1631.0,11.0,0,0,,,,,,
459167,2015,1,31,6,OO,6324,N762SK,LAX,ASE,700,649.0,-11.0,14.0,703.0,124.0,,,737,,,1004,,,1,0,,,,,,
5573450,2015,12,16,3,WN,1964,N374SW,LAS,ABQ,820,839.0,19.0,11.0,850.0,85.0,79.0,64.0,486,1054.0,4.0,1045,1058.0,13.0,0,0,,,,,,
1011464,2015,3,8,7,UA,1457,N12218,SFO,IAH,630,631.0,1.0,15.0,646.0,230.0,232.0,209.0,1635,1215.0,8.0,1220,1223.0,3.0,0,0,,,,,,
1975774,2015,5,6,3,WN,2699,N7750A,ABQ,DAL,1240,1233.0,-7.0,7.0,1240.0,95.0,91.0,79.0,580,1459.0,5.0,1515,1504.0,-11.0,0,0,,,,,,
2527989,2015,6,9,2,US,679,N573UW,PHX,SAN,1400,1401.0,1.0,13.0,1414.0,70.0,65.0,48.0,304,1502.0,4.0,1510,1506.0,-4.0,0,0,,,,,,
202540,2015,1,14,3,WN,886,N231WN,DEN,PHX,800,800.0,0.0,21.0,821.0,125.0,118.0,92.0,602,953.0,5.0,1005,958.0,-7.0,0,0,,,,,,
3086563,2015,7,13,1,AA,1094,N860AA,SEA,DFW,500,501.0,1.0,13.0,514.0,233.0,225.0,201.0,1660,1035.0,11.0,1053,1046.0,-7.0,0,0,,,,,,
4215230,2015,9,20,7,WN,2173,N8323C,LAS,MKE,925,924.0,-1.0,20.0,944.0,210.0,211.0,185.0,1524,1449.0,6.0,1455,1455.0,0.0,0,0,,,,,,
3258119,2015,7,23,4,DL,2139,N957DN,RDU,MSP,625,624.0,-1.0,14.0,638.0,170.0,154.0,134.0,980,752.0,6.0,815,758.0,-17.0,0,0,,,,,,
3953074,2015,9,2,3,DL,1924,N933DL,ATL,BWI,2205,2200.0,-5.0,30.0,2230.0,114.0,121.0,84.0,577,2354.0,7.0,2359,1.0,2.0,0,0,,,,,,
1703374,2015,4,19,7,F9,122,N939FR,DEN,DFW,1605,1553.0,-12.0,15.0,1608.0,106.0,112.0,85.0,641,1833.0,12.0,1851,1845.0,-6.0,0,0,,,,,,
4527167,2015,10,9,5,UA,1639,N57864,12266,12892,1904,1913.0,9.0,25.0,1938.0,210.0,207.0,167.0,1379,2025.0,15.0,2034,2040.0,6.0,0,0,,,,,,
1098173,2015,3,13,5,EV,5597,N707EV,ATL,LFT,939,938.0,-1.0,18.0,956.0,104.0,95.0,73.0,503,1009.0,4.0,1023,1013.0,-10.0,0,0,,,,,,
1447157,2015,4,3,5,MQ,3636,N642MQ,JFK,CMH,1459,1508.0,9.0,31.0,1539.0,116.0,114.0,81.0,483,1700.0,2.0,1655,1702.0,7.0,0,0,,,,,,
410636,2015,1,28,3,WN,2591,N7722B,DEN,ATL,600,556.0,-4.0,15.0,611.0,180.0,182.0,140.0,1199,1031.0,27.0,1100,1058.0,-2.0,0,0,,,,,,
5234729,2015,11,24,2,OO,5366,N479CA,JMS,DEN,630,637.0,7.0,20.0,657.0,112.0,107.0,80.0,573,717.0,7.0,722,724.0,2.0,0,0,,,,,,
3993810,2015,9,5,6,WN,1078,N8607M,MDW,DAL,1320,1320.0,0.0,12.0,1332.0,140.0,115.0,99.0,793,1511.0,4.0,1540,1515.0,-25.0,0,0,,,,,,
1426256,2015,4,2,4,US,2169,N809AW,BOS,DCA,1100,1052.0,-8.0,11.0,1103.0,88.0,80.0,64.0,399,1207.0,5.0,1228,1212.0,-16.0,0,0,,,,,,
2471033,2015,6,6,6,B6,1502,N521JB,FLL,JFK,600,554.0,-6.0,19.0,613.0,169.0,164.0,135.0,1069,828.0,10.0,849,838.0,-11.0,0,0,,,,,,
5176205,2015,11,20,5,WN,2179,N376SW,RDU,BWI,710,709.0,-1.0,8.0,717.0,70.0,60.0,40.0,255,757.0,12.0,820,809.0,-11.0,0,0,,,,,,
2157667,2015,5,17,7,AA,190,N3JCAA,SAT,DFW,1810,1813.0,3.0,14.0,1827.0,74.0,73.0,46.0,247,1913.0,13.0,1924,1926.0,2.0,0,0,,,,,,
1180055,2015,3,18,3,DL,2380,N832DN,JAX,ATL,1038,1031.0,-7.0,13.0,1044.0,79.0,67.0,46.0,270,1130.0,8.0,1157,1138.0,-19.0,0,0,,,,,,
4099490,2015,9,12,6,MQ,3090,N656MQ,ORD,CMI,1645,1657.0,12.0,21.0,1718.0,66.0,50.0,25.0,135,1743.0,4.0,1751,1747.0,-4.0,0,0,,,,,,
2423301,2015,6,3,3,WN,809,N360SW,RSW,STL,900,858.0,-2.0,12.0,910.0,155.0,155.0,140.0,979,1030.0,3.0,1035,1033.0,-2.0,0,0,,,,,,
4921093,2015,11,4,3,OO,6482,N140SY,MSN,ORD,623,725.0,62.0,26.0,751.0,62.0,77.0,40.0,108,831.0,11.0,725,842.0,77.0,0,0,,77.0,0.0,0.0,0.0,0.0
317485,2015,1,21,3,OO,5329,N679SA,ORD,AVL,1827,1846.0,19.0,15.0,1901.0,103.0,92.0,73.0,536,2114.0,4.0,2110,2118.0,8.0,0,0,,,,,,
1359442,2015,3,29,7,AA,1620,N467AA,DEN,DFW,1115,1110.0,-5.0,14.0,1124.0,119.0,114.0,86.0,641,1350.0,14.0,1414,1404.0,-10.0,0,0,,,,,,
5220244,2015,11,23,1,DL,1723,N845DN,MSP,RSW,658,652.0,-6.0,13.0,705.0,206.0,180.0,162.0,1416,1047.0,5.0,1124,1052.0,-32.0,0,0,,,,,,
5307389,2015,11,29,7,WN,1779,N8656B,BUR,PHX,705,702.0,-3.0,9.0,711.0,95.0,75.0,61.0,369,912.0,5.0,940,917.0,-23.0,0,0,,,,,,
3447392,2015,8,3,1,AA,1168,N3JSAA,ORD,MIA,1015,1043.0,28.0,26.0,1109.0,192.0,199.0,162.0,1197,1451.0,11.0,1427,1502.0,35.0,0,0,,35.0,0.0,0.0,0.0,0.0
455481,2015,1,30,5,AS,464,N506AS,SEA,LAX,1855,1916.0,21.0,13.0,1929.0,159.0,148.0,120.0,954,2129.0,15.0,2134,2144.0,10.0,0,0,,,,,,
855905,2015,2,26,4,WN,4262,,RDU,TPA,755,,,,,115.0,,,587,,,950,,,0,1,B,,,,,
5742663,2015,12,27,7,AA,1003,N3FJAA,ORD,RSW,710,709.0,-1.0,21.0,730.0,175.0,178.0,153.0,1120,1103.0,4.0,1105,1107.0,2.0,0,0,,,,,,
1930410,2015,5,3,7,DL,1323,N963AT,OMA,MSP,1725,1822.0,57.0,14.0,1836.0,68.0,78.0,58.0,282,1934.0,6.0,1833,1940.0,67.0,0,0,,67.0,0.0,0.0,0.0,0.0
5261572,2015,11,25,3,WN,2481,N566WN,BWI,MCO,1705,1703.0,-2.0,11.0,1714.0,145.0,124.0,106.0,787,1900.0,7.0,1930,1907.0,-23.0,0,0,,,,,,
3861409,2015,8,28,5,NK,730,N604NK,LAX,ORD,830,830.0,0.0,15.0,845.0,245.0,231.0,210.0,1744,1415.0,6.0,1435,1421.0,-14.0,0,0,,,,,,
1876849,2015,4,30,4,OO,6242,N954SW,DEN,SGF,1010,1003.0,-7.0,28.0,1031.0,109.0,116.0,83.0,637,1254.0,5.0,1259,1259.0,0.0,0,0,,,,,,
914586,2015,3,2,1,AA,2410,N3ECAA,LAX,DFW,555,552.0,-3.0,16.0,608.0,178.0,184.0,143.0,1235,1031.0,25.0,1053,1056.0,3.0,0,0,,,,,,
411000,2015,1,28,3,NK,606,N618NK,RSW,DTW,607,559.0,-8.0,9.0,608.0,166.0,190.0,171.0,1084,859.0,10.0,853,909.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
1919547,2015,5,3,7,AA,2300,N3EFAA,DFW,MIA,610,604.0,-6.0,14.0,618.0,161.0,162.0,136.0,1121,934.0,12.0,951,946.0,-5.0,0,0,,,,,,
4215438,2015,9,20,7,EV,5028,N605QX,ATL,LEX,940,934.0,-6.0,12.0,946.0,76.0,60.0,46.0,304,1032.0,2.0,1056,1034.0,-22.0,0,0,,,,,,
2715581,2015,6,20,6,F9,823,N932FR,MCI,DEN,1525,1523.0,-2.0,13.0,1536.0,101.0,101.0,81.0,533,1557.0,7.0,1606,1604.0,-2.0,0,0,,,,,,
2670004,2015,6,17,3,OO,3458,N216AG,SEA,SLC,2055,2049.0,-6.0,17.0,2106.0,117.0,113.0,88.0,689,2334.0,8.0,2352,2342.0,-10.0,0,0,,,,,,
5262815,2015,11,25,3,WN,235,N775SW,PHX,BUR,1815,1813.0,-2.0,7.0,1820.0,85.0,81.0,71.0,369,1831.0,3.0,1840,1834.0,-6.0,0,0,,,,,,
4911031,2015,11,3,2,MQ,3497,N918MQ,ORD,LSE,1215,1210.0,-5.0,12.0,1222.0,76.0,55.0,41.0,215,1303.0,2.0,1331,1305.0,-26.0,0,0,,,,,,
2582311,2015,6,12,5,EV,4324,N14904,MAF,IAH,1633,1628.0,-5.0,10.0,1638.0,92.0,92.0,75.0,429,1753.0,7.0,1805,1800.0,-5.0,0,0,,,,,,
749285,2015,2,19,4,DL,2343,N341NB,EWR,ATL,1030,1028.0,-2.0,14.0,1042.0,158.0,125.0,101.0,746,1223.0,10.0,1308,1233.0,-35.0,0,0,,,,,,
991743,2015,3,6,5,AS,863,N592AS,PDX,OGG,1715,1706.0,-9.0,7.0,1713.0,363.0,360.0,348.0,2562,2101.0,5.0,2118,2106.0,-12.0,0,0,,,,,,
101999,2015,1,7,3,EV,5447,N608QX,MSP,RST,1310,1338.0,28.0,23.0,1401.0,48.0,45.0,19.0,76,1420.0,3.0,1358,1423.0,25.0,0,0,,0.0,0.0,25.0,0.0,0.0
2152520,2015,5,17,7,DL,403,N3763D,PDX,JFK,1300,1301.0,1.0,20.0,1321.0,334.0,337.0,305.0,2454,2126.0,12.0,2134,2138.0,4.0,0,0,,,,,,
2986797,2015,7,7,2,WN,435,N559WN,BHM,HOU,635,1044.0,249.0,10.0,1054.0,105.0,90.0,72.0,570,1206.0,8.0,820,1214.0,234.0,0,0,,0.0,0.0,234.0,0.0,0.0
1004297,2015,3,7,6,B6,1534,N273JB,TPA,BDL,1407,1427.0,20.0,10.0,1437.0,165.0,152.0,135.0,1111,1652.0,7.0,1652,1659.0,7.0,0,0,,,,,,
5333833,2015,11,30,1,WN,2004,N609SW,PHX,SLC,1555,1639.0,44.0,7.0,1646.0,90.0,88.0,77.0,507,1803.0,4.0,1725,1807.0,42.0,0,0,,0.0,0.0,5.0,37.0,0.0
1929164,2015,5,3,7,OO,4796,N8933B,SBN,MSP,1607,1601.0,-6.0,10.0,1611.0,92.0,86.0,65.0,411,1616.0,11.0,1639,1627.0,-12.0,0,0,,,,,,
1754322,2015,4,22,3,WN,1886,N706SW,SAN,SEA,1705,1716.0,11.0,7.0,1723.0,170.0,157.0,142.0,1050,1945.0,8.0,1955,1953.0,-2.0,0,0,,,,,,
4883645,2015,11,1,7,UA,2005,N29717,SMF,DEN,1754,2045.0,171.0,11.0,2056.0,142.0,126.0,106.0,909,2342.0,9.0,2116,2351.0,155.0,0,0,,0.0,0.0,152.0,3.0,0.0
2335230,2015,5,28,4,EV,5985,N29917,ORD,OMA,1807,1803.0,-4.0,18.0,1821.0,99.0,94.0,65.0,416,1926.0,11.0,1946,1937.0,-9.0,0,0,,,,,,
2855955,2015,6,29,1,DL,2517,N959AT,VPS,ATL,525,519.0,-6.0,13.0,532.0,67.0,65.0,44.0,250,716.0,8.0,732,724.0,-8.0,0,0,,,,,,
2445279,2015,6,4,4,WN,3478,N642WN,BHM,DAL,1400,1350.0,-10.0,10.0,1400.0,110.0,97.0,83.0,587,1523.0,4.0,1550,1527.0,-23.0,0,0,,,,,,
1900942,2015,5,1,5,UA,368,N845UA,MDT,ORD,1718,1718.0,0.0,8.0,1726.0,124.0,101.0,85.0,594,1751.0,8.0,1822,1759.0,-23.0,0,0,,,,,,
49644,2015,1,4,7,WN,1408,N798SW,OAK,SLC,855,905.0,10.0,9.0,914.0,100.0,94.0,82.0,588,1136.0,3.0,1135,1139.0,4.0,0,0,,,,,,
1500969,2015,4,7,2,UA,1567,N69833,LAS,DEN,605,601.0,-4.0,18.0,619.0,116.0,109.0,83.0,628,842.0,8.0,901,850.0,-11.0,0,0,,,,,,
2215571,2015,5,21,4,AA,1193,N467AA,DFW,BNA,840,900.0,20.0,16.0,916.0,110.0,101.0,80.0,631,1036.0,5.0,1030,1041.0,11.0,0,0,,,,,,
3087782,2015,7,13,1,AS,126,N553AS,FAI,SEA,630,636.0,6.0,9.0,645.0,210.0,209.0,191.0,1533,1056.0,9.0,1100,1105.0,5.0,0,0,,,,,,
5798174,2015,12,30,3,EV,4326,N16541,ORD,TVC,1351,1349.0,-2.0,21.0,1410.0,70.0,70.0,44.0,224,1554.0,5.0,1601,1559.0,-2.0,0,0,,,,,,
